"/@type","/acceptedAnswer/@type","/acceptedAnswer/text","/name"
"Question","Answer","Certificates are the most basic qualification available to secondary school students and beyond. Offered by TAFEs, Community Education Centres and Registered Training Providers, Certificates I, II, III and IV will prepare you for employment or further education and training. Certificate I: Will give you skills when beginning a profession or help you gain community involvement. Certificate II: You'll build on knowledge and skills to work in a defined context and undertake further learning. Certificate III: You'll learn more in-depth theoretical and practical skills for work or further learning. Certificate IV: You'll learn theoretical and practical skills for specialised work or further learning.","What is a Certificate?"
"Question","Answer","Bachelor degrees are offered by universities and are presented to you when you complete an undergraduate course of study. Depending on the field of study, the duration of the degree can range from three to five years of full-time study (or part-time equivalent). Most bachelor degrees are recognised worldwide. A Bachelor degree teaches you skills such as research and analytical thinking and is recognised as a higher qualification to diplomas or certificates. Where a Diploma will give you the skills you need for your job, a Bachelor will set you up for your career.","What is a Bachelor Degree?"
"Question","Answer","It is your responsibility to ensure that your enrolment is correct prior to the due date. If you do not pay your fees by the due date you may be cancelled from your degree. If you withdraw from a unit after the due date you will receive a fail result on your student record. For TAFE students, your course won’t begin until you’ve paid your fees, or submitted your VET FEE HELP form.","What happens if I don’t pay my fees on time?"
"Question","Answer","These are the minimum technical requirements to study with Swinburne Online: Laptop or desktop computer Speakers or headphones Web camera Microphone For Mac: OSX version 10.7 For PC: Windows 7 Broadband internet connection with at least 30 GB data allowance per month (mobile dongles are not recommended).","What devices will I need to complete my qualification?"
"Question","Answer","At Swinburne Online, our online education method just requires students to have access to a broadband connection! Students can log in to their online environment to access their course, whenever and wherever it is convenient for them. Traditional on-campus education requires students to attend lectures and tutorials at a venue at a given time. Distance education often requires a number of different communication modes and can sometimes involve the sending of printed material to a student’s residence.","What are the main differences between online, on-campus and distance education?"
"Question","Answer","To study a diploma with Swinburne Online, you need to meet the specific entry criteria for your course. Please ensure you meet the entry criteria for the Diploma of Nursing before you apply.","What are the entry requirements for the Diploma of Nursing?"
"Question","Answer","To study a diploma with Swinburne Online, you need to meet the specific entry criteria for your course. For our Business diplomas you must either hold a relevant Certificate IV, Year 12, or higher level qualification, or have at least two years of relevant work experience and have completed Year 10 Maths and English. If you haven’t completed Year 10 Maths and English complete an online application and our Course Consultants will be in touch to talk to you about your situation.","What are the entry requirements for TAFE Business courses?"
"Question","Answer","Earning an industry certification is a powerful way to demonstrate and validate your competency to the market. Tableau certified professionals enjoy advanced career prospects, higher salaries, improved job security, greater confidence and proficiency in the workplace, and skill validation. Tableau certified professionals are also invited to enter the Tableau directory – a platform used by companies and prospective employers to find Tableau-accredited talent.","What are the benefits of acquiring a Tableau certification?"
"Question","Answer","When you study an education degree you complete practicum units that include theory and professional experience, also called a placement. Your placement will provide you with a real-life teaching experience at an early learning centre or primary school. This will give you the chance to apply the skills you’ve learnt online, build your confidence in the classroom, and gain invaluable industry experience.","What are placements?"
"Question","Answer","An exemption is a credit you are given by Swinburne Online for previous study or prior learning at another institute. If you are eligible for exemptions, it can mean that you can fast-track your degree or diploma and graduate sooner. To find out if you are eligible for any exemptions, speak to one of our Course Consultants.","What are exemptions?"
"Question","Answer","Electives are free choice units that must be completed to meet the requirements for most of our degrees. They are included in many of our courses to give students flexibility, in terms of how they complete their degree. Their inclusion in our courses allows students to explore other subjects of interest that may not be included in the core structure of their chosen degree.","What are electives and why do I need to study them?"
"Question","Answer","A core unit is a unit common to most degrees within a discipline. For example, all social science degrees at Swinburne Online share the same core units, regardless of which degree you are studying. Generally, core units are taken towards the start of your degree. For current students, more information can be found in the Study Resources section of our Student Portal.","What are core units?"
"Question","Answer","Depending on your current situation, now might be the perfect time for you to start studying. If you are finding yourself with extra time that you would usually spend on commuting or weekly commitments and would like to use it constructively, view our range of courses today.","Should I start studying now?"
"Question","Answer","According to studyassist.gov.au, Australian citizens or permanent residents (humanitarian visa) are eligible for FEE-HELP, providing they have not exceeded their FEE-HELP limit. To check your eligibility, visit the Australian Government Study Assist website.","Is there fee or financial assistance for Postgraduate Degrees?"
"Question","Answer","International students are not eligible for any financial assistance from the Australian government.","Is there fee or financial assistance for international students?"
"Question","Answer","As a student of Swinburne Online, you are eligible to participate in the Swinburne University of Technology graduation ceremony, which is held three times a year at the Melbourne Convention Centre. If you cannot make it to Melbourne, you can graduate in absentia and can opt to have your testamur (degree) posted to you.","Is there a graduation ceremony?"
"Question","Answer","Following the impacts of COVID-19, there are likely to be many changes in different industries. This may spark an opportunity for you to begin a career in a new field. If you are finding yourself with extra time that you would usually spend on commuting or weekly commitments and would like to use it constructively, view our range of courses today. Starting or completing a course now will help put you ahead of the pack.","Is now a good time to look at a career change?"
"Question","Answer","No – VET Student Loans will not be approved for students who do not meet eligibility requirements.","Is anyone eligible for a VSL?"
"Question","Answer","Yes, students of Swinburne Online graduate with the exact same qualification as a student at Swinburne University of Technology. Not only does your graduation certificate look exactly the same, your coursework will cover all the same topics – we just transpose the information and assessment tasks so that they are perfectly suited to an online classroom.","Is an online qualification a real qualification?"
"Question","Answer","No, recent Year 12 students must apply through VTAC for Swinburne courses for the March intake. However you may apply for Swinburne Online's July or November intakes.","If I have just completed Year 12, can I apply to enrol in your March intake (Teaching Period 1)?"
"Question","Answer","Yes. If you decide to discontinue your studies, you will need to formally withdraw from your course. To formally withdraw, please complete the self-service request form including: Your full name and student number The course you’re enrolled in. Your intent to withdraw Whether you paid your fees upfront or applied for VET FEE HELP or a VET Student Loan. Withdrawing before Census: To avoid incurring a VET FEE HELP or VET Student Loan debt (or to receive a full refund if you pay for your fees upfront) you must send your email to Swinburne Online on or before your Census date. We will inform you of your Census dates when you enrol. If you paid your fees upfront, Swinburne Online will send you a refund application form. Once this is processed you will receive a full refund within 10 business days. Withdrawing after Census: If you withdraw from your course after your Census date, you will be automatically charged for the units you enrolled in. You won’t be able to receive a refund. If you elected for VET FEE HELP or VET Student Loan, you will incur the debt.","If I have a VSL can I withdraw from my course?"
"Question","Answer","There are no exams for Swinburne Online’s TAFE Business courses.","I’m studying a TAFE Business course, will I have to sit exams?"
"Question","Answer","Exam attendance is necessary for all of our courses, other than education courses, our Bachelor of Design (Communication Design) and some media studies units. Exams are taken at specified exam centre venues in capital cities around Australia. When students reside more than 100km from an exam centre, or have any condition that would prevent them from taking exams at exam centres, they can sit an online exam. All our international students will also be required to sit their exams online, at home using a personal computer. To find out more about exams, visit our assessments and exams page on the website.","I’m studying a degree, will I have to sit exams?"
"Question","Answer","Students studying our online education courses still have to complete placements like on-campus students. In order to register to teach, graduates must have completed at least 60 days of professional placement when studying at postgraduate level and at least 80 days at undergraduate level. Professional placements can be taken anywhere in Australia, in schools that use the Australian curriculum or early childhood settings that use the Early Years Learning Framework.","I’m interested in becoming a teacher. How will teaching placements work, given that your degrees are online?"
"Question","Answer","If you are unsure which qualification is most relevant to you, speak to a Course Consultant for some advice or see our Levels of Education FAQ section. Otherwise you can submit an application form and one of our Course Consultants will be in touch.","I'm not sure what to study. Who can help me?"
"Question","Answer","If you’re unsure about whether you’ll be eligible to study with Swinburne, it’s definitely worth calling our team of course consultants on 1300 069 765 or +61 3 9956 0777 if you are calling from overseas. The team will be able to outline which entry requirements are relevant to you and explain your next steps. Often students will be eligible for a range of courses on the basis of their work experience. It may be as simple as sending through an updated resume to get on track towards your qualification of choice.","I'm not sure if I meet the entry requirements but I want to study. What should I do?"
"Question","Answer","A placement may be able to be completed at your workplace depending on your course and circumstances. Please contact the Placements Team to discuss if this is an option for a particular placement in your course.","I currently work at an early childhood service, primary or secondary school, can I do my teaching placement at my workplace?"
"Question","Answer","If you have credits or exemptions from previous study, it will appear on your academic transcript under ‘Other Results’. Please note there will be no grade or mark associated with these studies.","How will a credit for previous studies appear on my transcript?"
"Question","Answer","For domestic university students, estimates of your overall course cost can be found on our Course Fees page on the website. For international students, course fees can be found on their Course Fees and Scholarships page. These prices may vary slightly depending on which units you choose. For more information about individual unit costs, visit Swinburne University of Technology’s Higher education fees page. For information on how much your VET course will cost, visit our VET Fees page.","How much will my course cost?"
"Question","Answer","Within a teaching period, you have to do at least one unit to continue studying your degree. The maximum amount of units you can undertake in a teaching period is four units. If you need to take a teaching period off, you can look at deferring your course.","How many units can I undertake per teaching period?"
"Question","Answer","The number of placements you have to complete depends on your course: Bachelor of Education (Primary): 3 x 20 days, 1 x 21 days. Total: 81 days Bachelor of Education (Early Childhood Teaching): 4 x 20 days. Total: 80 days Bachelor of Education (Early Childhood and Primary): 3 x 20 days, 1 x 21 days, 1 x 10 days. Total: 91 days Master of Teaching (Primary): 3 x 20 days. Total: 60 days Master of Teaching (Secondary): 3 x 20 days. Total: 60 days","How many placements do I have to do?"
"Question","Answer","For most undergraduate students, we recommend you allow eight hours of study a week per unit. For postgraduate education students (domestic only), we recommend 10 hours a week per unit and for postgraduate business students and undergraduate design students we recommend allowing 12 hours a week of study per unit.","How many hours of study per week are recommended per unit?"
"Question","Answer","Swinburne University has over 215,000 alumni in more than 140 countries around the world.","How many alumni are there?"
"Question","Answer","Our team of Course Consultants will normally get in touch with you within two working days of you submitting your application with an outcome, or to retrieve some further information. During busy periods this time frame can be a little longer. You are welcome to contact us if you’d like to follow up on an application that has exceeded this guideline.","How long will my application take to be assessed?"
"Question","Answer","The length of your degree will largely depend on how many units you undertake per teaching period. The number of units required to complete a degree varies from qualification to qualification and you can see how many units are required to complete a particular degree on our Course Pages. Alternatively, you can have a look at our Course Planners for more detailed information about how to manage a specific degree. As students have the option of studying between one and four units per teaching period and can change their study load throughout, each student will graduate at a different point. If you are studying a VET course, you can personalise your program, giving you the freedom to set your own goals, choose what units you study first, and determine how long you spend on each one. So whether you want to complete your diploma in two months or over a year — you can work towards your goals at a pace that suits you. It’s important to note that number of study hours required for each diploma does change, and you can view the specific requirements on our VET course pages.","How long will it take to earn my degree?"
"Question","Answer","Swinburne started as a technical college in 1909 and gained university status in 1992. Read the history of Swinburne.","How long has Swinburne been around for?"
"Question","Answer","All of your study will happen in Canvas. Canvas is the online platform where you’ll manage your course and receive study support from your Vocational Learning Advisors (VLAs). The Diploma of Nursing course is fast-paced and you will need to find a work-life-study balance that suits your personal needs.","How does your model of online study work for the Diploma of Nursing?"
"Question","Answer","When you study a TAFE course with Swinburne Online all of your study will happen in Canvas. Canvas is the online platform where you’ll manage your course and receive study support from teachers. You’ll be able to personalise your program, giving you the freedom to set your own goals, choose what units you study first, and determine how long you spend on each one. With the support of your Assessors and Lead Trainer, you can work towards your goals at a pace that suits you.","How does your model of online study work for TAFE?"
"Question","Answer","We know students are most successful when they learn actively. This means not just remembering new information, but evaluating it and using it to solve problems and to come up with new ideas. Students at Swinburne Online learn with the three learning components: theory, practice and sharing. You learn your theory through the free Learning Materials, put it into practice with weekly Learning Activities and then share your learnings with other classmates in the Discussion Boards.","How does your model of online study work for higher education if there are no lectures?"
"Question","Answer","For over 100 years Swinburne has been committed to providing our students with the latest innovations in education. In recent years, Swinburne has become one of the world’s leading universities, ranking in the top 400 in the world, as assessed by the Academic Ranking of World Universities. This result places Swinburne among the top 2% of universities in the world. Swinburne has over 30,000 students enrolled worldwide, supported by 2,800 staff and an alumni network of over 90,000.","How does Swinburne University of Technology rate against other universities?"
"Question","Answer","You can undertake our courses from anywhere with an internet connection, including the comfort of your own home during social isolation. Swinburne Online takes domestic students for both degrees and TAFE diplomas from anywhere in Australia. International students are also accepted for our degrees, although some differences to their payment processes will apply. You won’t normally have to be online at a specific time. Your course material is available for you from the beginning of each teaching period and you can work through it in the hours that suit you. There are some live webinar sessions that run approximately once a month. These are a special opportunity for students to sign in at the same time as their tutors, normally before an assessment deadline. It gives you the chance to ask any questions relating to the assignment in real time and hear other student’s questions and thoughts. We understand that students won’t always be able to make these sessions, so they can be replayed the next day.","How does online study work?"
"Question","Answer","When studying a degree and you are struggling with motivation, time management or simply need help with an assignment or some technical support, you can get in touch with our Student Advisors. Call 1300 937 765 from Australia, +61 3 9956 0777 for Australian citizens living overseas and 800 8001 1222 for international students, anytime between 9am - 9pm (AEST) Monday to Friday and 10am - 6pm (AEST) on weekends and public holidays – or fill out a Help Web Form to speak to one of our Student Advisors. If you’re enrolled in a TAFE course you will have support in Canvas – your online learning environment. A dynamic live chat means you can find out who else is online at the same time as you and ask other students questions. There is also a discussion board where you can post questions that will be answered by a pool of industry trained teachers, waiting to help you.","How do I stay on track with my study?"
"Question","Answer","HECS-HELP, FEE-HELP and VET FEE-HELP enable eligible students to state their intention for tuition fees to be paid on their behalf by the federal government to Swinburne Online. This results in students having a loan with the Australian Tax Office that can be repaid through the tax system. Repayments for HELP loans are not required until students are earning more than a certain amount per annum.","How do I repay my HELP loan?"
"Question","Answer","Applying to study with Swinburne Online is simple and one of our course consultants will be available to help you with any questions you have. Students wishing to study with us, simply need to complete an application form. A course consultant will assess the application and give you prompt feedback, including any documentation required. If successful, they will be then able to finalise your application with you over the phone.","How do I apply to enrol in a degree or a diploma?"
"Question","Answer","Exam attendance is necessary for all of our courses, other than education courses, our Bachelor of Design (Communication Design) and some media studies units. Exams are taken at specified exam centre venues in capital cities around Australia. When students reside more than 100km from an exam centre, or have any condition that would prevent them from taking exams at exam centres, they can sit an online exam. All our international students will also be required to sit their exams online, at home using a personal computer. To find out more about exams, visit our assessments and exams page.","How do exams work?"
"Question","Answer","All of our assessment tasks and assignments at Swinburne Online are submitted online, so there is no need to worry about broken printers, or assignments getting lost in the mail. If you are unable to submit your assessment on time, there are a number of options available to you including extensions and special consideration. To find out more about assessments, visit our assessments page for university on the website. When you study a TAFE course with us your assessment tasks will be highly practical – instantly improving your work performance and helping advance your career. You will find short assessment tasks featured throughout your learning journey such as quizzes, short answer responses and reflection, and short projects. Read more about TAFE assessments here.","How do assessments work?"
"Question","Answer","You can communicate with students using the discussion boards within your student portal, or via CONNECT, Swinburne Online’s very own social networking site. CONNECT is much like an online student lounge, where you can chat with students from across the whole of Swinburne Online. From discussing your course, reflecting on student life, creating face-to-face study groups with students in your local area and even networking for your future, CONNECT is your networking haven. If you’re studying a TAFE diploma you’ll have access to live chat within Canvas, which allows you to see who else is online at the same time as you and ask other students questions. You can also open up discussions with students and teachers by posting questions to an online discussion board.","How can I get in touch with other students?"
"Question","Answer","The process for accessing and securing a placement may differ depending on your course, your location and the type of setting. Once you’re enrolled in your course you will be able to access information and resources about placements. Our Placements Team is also available to answer any questions you may have and give you advice.","How are my placements arranged?"
"Question","Answer","Neither the operations nor the teaching period at Swinburne Online have been impacted by the COVID-19 pandemic. We will continue to operate as business as usual throughout this time of uncertainty, with no reduction in teaching, support or enrolment services. Our intake dates remain unchanged. Swinburne Online is designed to thrive in the online environment. Our experienced support teams and tutors have always effectively worked with our satisfied students from a distance.","Has Swinburne Online been affected by COVID-19?"
"Question","Answer","Yes! The Data Analytics for Business unit, which forms part of the Graduate Certificate of Professional Data Analytics, covers the subjects and topics assessed in the Tableau Desktop Certified Specialist certification exam. These include how to: create and explain data connections organise and simplify data create basic charts and visualisations calculate and map data create a dashboard. While the unit will equip you with the knowledge and skills that are tested on the exam, it is not designed to be direct preparation for the certification and we recommend consulting the Tableau exam guide and free resources, in addition to the unit content, during your preparation.","Does the Graduate Certification in Professional Data Analytics prepare me for the Tableau Desktop Certified Specialist certification exam?"
"Question","Answer","We have a whole variety of support options available to students seven days a week, so no one is ever left feeling alone. For students studying a degree with us, your small online class of 20-24 students is run by a dedicated online tutor (eLearning Advisor), who will always be happy to respond to your questions. Our Student Advisors (SAs) are a team of academic/technical and administrative specialists who can be contacted seven days a week. They can help with issues from advice on assignments to problems with logging in to the Student Portal. We also have online assessment support options that will cater to a range of academic needs. To find out more about our university support options, visit the student support page on our website. For VET students, everything you need to know to complete your diploma is housed in our unique system called Canvas. However, if you do find yourself with questions one of our VET student team are on hand.","Do you offer online support, or will I need to figure it all out myself?"
"Question","Answer","We offer either HECS-HELP or FEE-HELP to Australian citizens and permanent humanitarian visa-holders for all of our university courses. For undergraduate degrees, Commonwealth Supported Places (CSP) are available for all students who meet the entry criteria. HECS-HELP is available for Australian citizens and permanent humanitarian visa-holders as part of their CSP offer. New Zealand citizens and Australian permanent residents will need to pay their unit fees up front, but will be eligible for our domestic student fee. For postgraduate courses, Australian citizens and Permanent Humanitarian visa-holders that are eligible for courses, will be able to use FEE-HELP to pay their tuition fees. International students are not eligible for any Australian government fee assistance.","Do you offer HECS-HELP and FEE-HELP?"
"Question","Answer","Yes, we offer a number of postgraduate degrees in business and education that will help you develop the skills and knowledge for a great career. All programs require a bachelor degree in any discipline, or relevant work experience.","Do you have postgraduate programs?"
"Question","Answer","Because you will be studying a degree online, all of our support systems are available over the phone or online. When you go through our simple enrolment process you will speak to one of our knowledgeable course consultants over the phone. Once you are a student with us, you are always welcome to drop in to any of our campuses to access the library or any of our other student benefits.","Do you have a head office somewhere if I want to meet someone face-to-face about my course?"
"Question","Answer","Yes, Swinburne Online accept applications from international students for our higher education courses. The process of applying to enrol is exactly the same as for domestic students. Simply fill in a request for information and submit any documentation required or speak to one of our Course Consultants on 800 4002 0400.","Do you accept international students?"
"Question","Answer","Yes, you will be required to purchase textbooks for this course at an additional cost. You will also need to purchase a nursing kit and a uniform for when you go on placement at your own cost. You can purchase these online once you begin your studies or at your on-campus orientation tour.","Do I need to purchase any learning materials for the Diploma of Nursing?"
"Question","Answer","You won’t normally have to be online at a specific time. Your course material is available for you from the beginning of each teaching period and you can work through it in the hours that suit you. There are some live webinar sessions that run approximately once a month. These are a special opportunity for students to sign in at the same time as their tutors, normally before an assessment deadline. It gives you the chance to ask any questions relating to the assignment in real time and hear other student’s questions and thoughts. We understand that students won’t always be able to make these sessions, so they can be replayed the next day.","Do I need to be logged on to study at specific times?"
"Question","Answer","For students undertaking a degree, most of the software, like your online eTexts, that you will need to complete your course can be downloaded for free, using a license provided to you by Swinburne Online. However, certain units will require students to purchase some software. If you are studying a unit(s) that requires you to purchase software, you will be notified via email prior to the start of the teaching period. All students can download a free version of Microsoft Office (Word, Excel, PowerPoint) for the duration of their studies. You will also need ongoing access to either: Mac: OS X Version 10.7 or higher PC: Windows 7 or newer.","Do I need fancy software?"
"Question","Answer","For students undertaking a degree, most of your learning materials are included with a free license provided to you by Swinburne Online. However, in some cases, you will be notified via your student email that you will need to buy specific software or eTexts. For TAFE Business students, all of your learning materials will be available online and are covered by your course fees. You won’t need to purchase any further materials.","Do I have to purchase learning materials?"
"Question","Answer","If you are eligible for a HECS-HELP or FEE-HELP loan, you will be able to defer your study payments until you earn above the repayment threshold defined by the Australian Tax Office. We offer either HECS-HELP or FEE-HELP to Australian citizens and permanent humanitarian visa-holders for all of our university courses. For undergraduate degrees, Commonwealth Supported Places (CSP) are available for all students who meet the entry criteria. HECS-HELP is available for Australian citizens and permanent humanitarian visa-holders as part of their CSP offer. New Zealand citizens and Australian permanent residents will need to pay their unit fees up front, but will be eligible for our domestic student fee. For postgraduate courses, Australian citizens and Permanent Humanitarian visa-holders who are eligible for courses will be able to use FEE-HELP to pay their tuition fees. International students are not eligible for any Australian government fee assistance.","Do I have to pay for my studies upfront?"
"Question","Answer","Yes, most students will be eligible for some type of overseas study program, either longer term student exchange or short term study tours. For more information visit our Swinburne Abroad page on the Swinburne University of Technology website.","Can I study abroad?"
"Question","Answer","If you are an on-campus student at Swinburne University of Technology, you may be able to study some of your units online, through Swinburne Online. Speak to a Course Consultant today to find out if we can meet your unit requirements.","Can I study a mixture of on-campus and online units?"
"Question","Answer","You may be able to complete one primary placement overseas provided that it is undertaken at either an Australian Curriculum School or an International School where the language of instruction is English. All early childhood placements must be completed in Australia. For more information, contact the Placements Team via the Help Web Form.","Can I do my education placement outside of Australia?"
"Question","Answer","No. Once you have finished your Introductory Skill Set course, you can apply for VSL to apply to the Diploma.","Can I cover the cost of my Introductory Skill Set Course using VET Student Loan?"
"Question","Answer","Yes – It's important that when you enrol, you take note of your desired start date as this will determine the deadline for your fee payment and your Census date. Start dates refer to your course start date (new students), as well as start date options for your next block of units. Census date is your last opportunity to change your enrolment without incurring the cost of your enrolled units.","Are there dates I need to think about when applying for a VSL?"
"Question","Answer","Our education degrees are accredited and recognised by the Victorian Institute of Teaching (VIT) and/or by the Australian Institute of Teaching and Leadership (AITSL) and/or by the Australian Children's Education & Care Quality Authority (ACECQA), depending on the particular course accreditation requirements. The Bachelor of Education (Primary), Bachelor of Education (Early Childhood and Primary), Master of Teaching (Primary) and Master of Teaching (Secondary) enable you to register as a teacher anywhere in Australia under mutual recognition. For the Bachelor of Education (Early Childhood Teaching), you should check with the teacher registration authority in your state or territory and course accreditation requirements necessary for any early childhood teacher registration requirements of your state or territory.","Are the education degrees nationally recognised?"
"Question","Answer","Swinburne Online students receive the same qualification as students at Swinburne University of Technology, an internationally ranked university with 30,000 students across its Melbourne and overseas campuses.","Are the courses the same as the on-campus courses?"
"Question","Answer","There are currently no Commonwealth Supported Places available to postgraduate students.","Are Postgraduate students eligible for Commonwealth Supported Places (CSP)?"
"Question","Answer","When attending placement you are required to attend full days (seven to eight hours per day). We recommend you complete your placement five days per week over four weeks. You also have the option of completing some placements three consecutive days per week (e.g. Wed, Thurs, Fri) over eight weeks.","Are placements available part time for education students?"
"Question","Answer","Yes, you are only required to attend exams at the end of each teaching period. There are no formal mid-semester exams.","Are exams only held at the end of each teaching period?"
"Question","Answer","Yes, you can request a student card when you enrol with Swinburne Online. You can use this to borrow books at Swinburne University of Technology’s library or any ULANZ libraries and will also need it when you attend exams.","Am I eligible for a student concession card when studying online?"
"Question","Answer","A Commonwealth Supported Place (CSP) is a subsidised higher education place. You will only pay the student contribution (remaining amount) of the unit fees after the government subsidy has been applied. A HECS-HELP loan will allow you to defer your fees to a government loan for CSP courses, allowing you to avoid any upfront fees for your course. You would start to pay this loan back once you are earning over the advised threshold. This loan is available to Australian citizens and Humanitarian Visa holders. A FEE-HELP loan will allow you to defer your fees to a government loan for full fee paying places (non-CSP) allowing you to avoid any upfront fees for your course. You would start to pay this loan back once you are earning over the advised threshold. This loan is available to Australian citizens and Humanitarian Visa holders. You can nominate to defer your fees to a HELP loan during your enrolment, and once you log into your student account that application can be finalised.","Am I eligible for a Commonwealth Supported Place and a HELP loan?"
"Question","Answer","You can study at Swinburne Online from any state or territory in Australia, as long as you meet the entry requirements for your online course and have an Internet connection! Swinburne Online now accepts international students into our university degrees. You can find out more about our entry criteria for international students here.","Am I able to study at Swinburne Online if I don't live in Victoria?"

